code,name,area,type
48540,Whyalla (C),1071.3398,lga
48640,Wudinna (DC),5075.2783,lga
48750,Yankalilla (DC),751.2577,lga
48830,Yorke Peninsula (DC),5899.6079,lga
49399,Unincorporated SA,622489.4848,lga
50080,Albany (C),4310.8905,lga
50210,Armadale (C),559.5261,lga
50250,Ashburton (S),100818.2074,lga
50280,Augusta-Margaret River (S),2122.3749,lga
50350,Bassendean (T),10.3449,lga
50420,Bayswater (C),34.6168,lga
50490,Belmont (C),39.8246,lga
50560,Beverley (S),2370.5195,lga
50630,Boddington (S),1904.4791,lga
50770,Boyup Brook (S),2826.4586,lga
50840,Bridgetown-Greenbushes (S),1337.361,lga
50910,Brookton (S),1601.1532,lga
50980,Broome (S),54401.8236,lga
51080,Broomehill-Tambellup (S),2609.6585,lga
51120,Bruce Rock (S),2724.6944,lga
51190,Bunbury (C),65.4163,lga
51260,Busselton (C),1454.0505,lga
51310,Cambridge (T),21.9554,lga
51330,Canning (C),64.8789,lga
51400,Capel (S),557.8983,lga
51470,Carnamah (S),2870.9247,lga
51540,Carnarvon (S),46574.6082,lga
51610,Chapman Valley (S),3981.3333,lga
51680,Chittering (S),1219.9032,lga
51750,Claremont (T),4.9556,lga
51820,Cockburn (C),167.8989,lga
51890,Collie (S),1709.8149,lga
51960,Coolgardie (S),30297.6977,lga
52030,Coorow (S),4189.8791,lga
52100,Corrigin (S),2681.2709,lga
52170,Cottesloe (T),3.8564,lga
52240,Cranbrook (S),3276.0491,lga
52310,Cuballing (S),1195.337,lga
52380,Cue (S),13582.1956,lga
52450,Cunderdin (S),1862.4458,lga
52520,Dalwallinu (S),7224.3566,lga
52590,Dandaragan (S),6711.5721,lga
52660,Dardanup (S),525.8017,lga
52730,Denmark (S),1859.8488,lga
52800,Derby-West Kimberley (S),119730.9697,lga
52870,Donnybrook-Balingup (S),1559.8561,lga
52940,Dowerin (S),1863.0851,lga
53010,Dumbleyung (S),2539.2249,lga
53080,Dundas (S),92885.0302,lga
53150,East Fremantle (T),3.1384,lga
53220,East Pilbara (S),372307.466,lga
53290,Esperance (S),44797.5456,lga
53360,Exmouth (S),6488.0705,lga
53430,Fremantle (C),19.0103,lga
53570,Gingin (S),3208.3585,lga
53640,Gnowangerup (S),4265.0424,lga
53710,Goomalling (S),1835.4294,lga
53780,Gosnells (C),127.2975,lga
53800,Greater Geraldton (C),9909.0003,lga
53920,Halls Creek (S),133061.0128,lga
53990,Harvey (S),1727.6068,lga
54060,Irwin (S),2369.3298,lga
54130,Jerramungup (S),6508.5904,lga
54170,Joondalup (C),98.9285,lga
